epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,842.661,0.56496,2.14457,0.24223,0.42316,0.95105,0.97745,0.94,0.97775,0.88034,0.9899,0.885,0.91149,0.61495,0.50094,1.86975,0.1999,0.35559,0.83507,0.0014852,0.0014852,0.0014852
28,873.121,0.56559,2.18199,0.24173,0.43777,0.96298,0.99861,0.91,0.96853,0.8762,0.97663,0.89,0.90474,0.57019,0.49074,2.0121,0.18698,0.37649,0.82936,0.0014654,0.0014654,0.0014654
29,902.792,0.54834,2.02515,0.23044,0.41429,0.95716,0.99803,0.92,0.97471,0.89763,0.95225,0.8975,0.92018,0.66976,0.48366,1.57434,0.18945,0.36524,0.82603,0.0014456,0.0014456,0.0014456
30,932.857,0.54893,1.98666,0.23447,0.41877,0.95233,0.9988,0.925,0.97275,0.87507,0.99794,0.925,0.96958,0.67018,0.50555,1.48442,0.19122,0.36826,0.82308,0.0014258,0.0014258,0.0014258
31,962.634,0.55296,1.93185,0.22611,0.41593,0.95621,0.98364,0.945,0.97303,0.87855,0.96347,0.92307,0.96335,0.63023,0.50085,1.53825,0.19245,0.3625,0.81291,0.001406,0.001406,0.001406
32,992.771,0.54875,1.93326,0.23263,0.41319,0.95278,0.99845,0.925,0.96046,0.88476,0.97866,0.91741,0.93608,0.64938,0.4797,1.68092,0.18206,0.36215,0.82846,0.0013862,0.0013862,0.0013862
33,1026.3,0.53703,1.82775,0.22854,0.40714,0.95206,0.95966,0.95155,0.98652,0.89376,0.87975,0.87792,0.89652,0.58696,0.46543,1.94294,0.18878,0.32986,0.80692,0.0013664,0.0013664,0.0013664
34,1057.13,0.53737,1.87051,0.23005,0.40378,0.94759,0.99942,0.94,0.98127,0.89497,0.95298,0.91194,0.9336,0.69398,0.47249,1.48857,0.18623,0.32645,0.81428,0.0013466,0.0013466,0.0013466
35,1087.02,0.52734,1.84969,0.22766,0.39518,0.94118,1,0.93305,0.97943,0.88487,0.94239,0.89975,0.91091,0.66841,0.50921,1.63526,0.1801,0.33734,0.82018,0.0013268,0.0013268,0.0013268
36,1116.96,0.5374,1.81623,0.21995,0.40229,0.94186,1,0.93329,0.97472,0.85943,0.97857,0.91329,0.94877,0.69082,0.54723,1.52474,0.18266,0.38067,0.83638,0.001307,0.001307,0.001307
37,1147.2,0.51986,1.66232,0.21744,0.38439,0.93729,0.99595,0.935,0.97979,0.87629,0.92663,0.87,0.87471,0.61832,0.505,1.66156,0.18136,0.34029,0.82682,0.0012872,0.0012872,0.0012872
38,1179.25,0.50911,1.71109,0.22031,0.38556,0.94073,0.98936,0.93008,0.98264,0.88182,0.91733,0.94317,0.94599,0.68179,0.47439,1.41118,0.18573,0.34918,0.79845,0.0012674,0.0012674,0.0012674
